tempo= 120
3.54375 E
3.629166666666667 y
3.745833333333333 o
3.777083333333333 @
4.685416666666667 P
5.595833333333333 o
5.60625 E
6.464583333333334 P
7.3 t
7.320833333333334 o
8.2 P
9.077083333333333 E
9.089583333333334 o
9.997916666666667 P
10.73125 t
10.866666666666667 Y
10.960416666666667 O
10.991666666666667 @
11.922916666666667 P
12.814583333333333 O
12.833333333333334 t
13.7 P
14.579166666666667 Y
14.6 O
15.477083333333333 P
16.3875 y
16.410416666666666 O
17.385416666666668 P
18.197916666666668 t
18.329166666666666 i
18.460416666666667 o
18.616666666666667 @
18.622916666666665 s
19.65 ^
20.595833333333335 y
20.622916666666665 (
21.522916666666667 q
22.516666666666666 s
22.520833333333332 w
22.527083333333334 i
23.447916666666668 E
24.49375 Y
26.072916666666668 (
26.197916666666668 y
26.335416666666667 P
26.502083333333335 d
26.627083333333335 J
27.504166666666666 g
28.216666666666665 O
28.333333333333332 t
28.352083333333333 s
28.435416666666665 H
29.297916666666666 D
29.9625 o
30.097916666666666 P
30.152083333333334 E
30.19375 h
31.122916666666665 d
31.95 i
32.104166666666664 O
32.19166666666667 W
32.25208333333333 g
34.4625 @
34.59583333333333 w
34.60625 q
35.922916666666666 ^
35.94375 P
36.802083333333336 (
36.822916666666664 s
37.5125 w
37.53958333333333 o
38.24791666666667 (
38.297916666666666 P
38.97708333333333 E
39.75 i
40.55625 o
41.27708333333333 t
41.39375 Y
41.46041666666667 @
41.52916666666667 O
42.302083333333336 (
42.983333333333334 O
43.045833333333334 W
43.74583333333333 t
44.708333333333336 Y
44.75 O
45.889583333333334 P
46.7375 Y
47.395833333333336 i
47.95 E
48.04375 y
48.170833333333334 @
48.175 o
48.94375 ^
49.76875 w
49.77291666666667 o
50.577083333333334 E
51.52708333333333 o
52.49375 P
53.225 y
53.8375 Y
54.33958333333333 W
54.552083333333336 t
54.65416666666667 Y
54.85208333333333 i
54.8625 4
55.75 q
56.43125 W
57.083333333333336 t
58.020833333333336 ^
58.03125 y
58.0625 r
58.858333333333334 W
59.77916666666667 v
59.80833333333333 r
59.90208333333333 v
61.889583333333334 @
62.19375 o
62.21458333333333 E
63.0625 ^
63.78541666666667 E
64.53541666666666 w
65.60208333333334 3
65.72916666666667 o
65.75416666666666 T
65.75625 E
66.62708333333333 *
67.3 w
67.90208333333334 E
68.5 W
68.7625 t
68.89583333333333 Y
69.14791666666666 o
69.15416666666667 w
69.16875 4
69.175 (
70.21458333333334 8
70.52708333333334 P
70.93541666666667 W
71.44791666666667 O
71.99166666666666 r
72.15208333333334 y
72.29583333333333 ^
72.32708333333333 o
73.03958333333334 q
73.90833333333333 W
73.93958333333333 i
75.25625 w
75.41666666666667 E
75.58333333333333 t
75.70416666666667 @
75.71875 Y
76.57291666666667 ^
77.40208333333334 Z
77.48125 (
77.52708333333334 Z
78.23541666666667 w
78.9875 E
79.66041666666666 Y
80.31666666666666 P
81.00625 D
81.43541666666667 y
81.68125 Y
81.75 P
81.79166666666667 i
81.87916666666666 d
81.98958333333333 J
82.71041666666666 g
83.28541666666666 O
83.39166666666667 Y
83.39791666666666 s
83.42291666666667 H
84.10208333333334 D
84.81458333333333 o
84.82291666666667 P
84.89791666666666 y
84.92916666666666 E
84.93541666666667 h
85.72916666666667 d
86.40833333333333 W
86.57291666666667 i
86.64375 O
86.67083333333333 s
86.68541666666667 y
86.71666666666667 t
86.8 g
88.67291666666667 @
88.83958333333334 E
89.88125 ^
90.11041666666667 P
90.87916666666666 w
90.88958333333333 s
91.46458333333334 o
91.52708333333334 E
92.10208333333334 P
92.12291666666667 i
92.74166666666666 Y
93.49375 E
93.50416666666666 i
94.28333333333333 o
94.96875 t
95.09583333333333 Y
95.19791666666667 @
95.26041666666667 O
95.91875 (
96.61041666666667 O
97.20833333333333 W
98.04166666666667 O
98.09375 Y
98.88958333333333 P
99.51666666666667 Y
100.09166666666667 i
100.58333333333333 E
100.72083333333333 y
100.83541666666666 @
100.91458333333334 o
101.5875 (
102.26666666666667 o
102.30833333333334 y
103.01041666666667 E
103.79375 o
104.65625 P
105.37291666666667 y
105.96875 Y
106.49791666666667 e
106.66041666666666 t
106.775 y
106.96458333333334 i
107.05833333333334 9
107.63125 q
108.30208333333333 e
109.40416666666667 y
109.55 T
109.70208333333333 t
109.85833333333333 r
109.94166666666666 5
110.57083333333334 9
111.36666666666666 w
111.37291666666667 q
112.18125 o
113.35208333333334 1
113.40416666666667 y
113.40833333333333 w
113.42916666666666 E
114.35625 8
115.15208333333334 t
115.17083333333333 w
115.18333333333334 E
115.76875 8
116.3875 Y
116.39166666666667 w
116.41666666666667 E
116.43333333333334 t
